born,district,icpsr,n_au,n_bills,n_co,na,nyears,party,sex,state,thomas,vertex.names,node_id
1951,NA,40904,31,439,408,FALSE,6,DEM,M,MN,01969,Alan Stuart Franken,1
1960,NA,40700,61,429,368,FALSE,6,DEM,F,MN,01826,Amy Jean Klobuchar,2
1944,NA,41300,17,263,246,FALSE,0,IND,M,ME,02185,Angus King,3
1936,NA,14440,12,275,263,FALSE,24,DEM,F,MD,00802,Barbara A. Mikulski,4
1940,NA,15011,37,385,348,FALSE,18,DEM,F,CA,00116,Barbara Boxer,5
1972,NA,NA,5,91,86,FALSE,0,REP,M,NE,02289,Benjamin Eric Sasse,6
1943,NA,15408,61,328,267,FALSE,6,DEM,M,MD,00174,Benjamin L. Cardin,7
1941,NA,29147,18,235,217,FALSE,6,IND,M,VT,01010,Bernard Sanders,8
1957,NA,20919,32,189,157,FALSE,0,REP,M,LA,01925,Bill Cassidy,9
1942,NA,14651,37,222,185,FALSE,12,DEM,M,FL,00859,Bill Nelson,10
1952,NA,40705,17,94,77,FALSE,6,REP,M,TN,01825,Bob Corker,11
1972,NA,41112,29,298,269,FALSE,3,DEM,M,HI,02173,Brian Emanuel Schatz,12
1933,NA,14226,79,305,226,FALSE,30,REP,M,IA,00457,Charles E. Grassley,13
1950,NA,14858,38,399,361,FALSE,12,DEM,M,NY,01036,Charles E. Schumer,14
1963,NA,40916,35,421,386,FALSE,5,DEM,M,DE,01984,Chris Andrew Coons,15
1973,NA,20707,26,325,299,FALSE,0,DEM,M,CT,01837,Christopher S. Murphy,16
1953,NA,40701,14,206,192,FALSE,6,DEM,F,MO,01820,Claire McCaskill,17
1969,NA,NA,32,314,282,FALSE,2,DEM,M,NJ,02194,Cory Anthony Booker,18
1974,NA,21112,35,262,227,FALSE,0,REP,M,CO,01998,Cory Gardner,19
1964,NA,NA,14,181,167,FALSE,0,REP,M,AK,02290,Dan Sullivan,20
1943,NA,14806,9,140,131,FALSE,22,REP,M,IN,00209,Daniel Ray Coats,21
1949,NA,NA,8,215,207,FALSE,0,REP,M,GA,02286,David Perdue,22
1961,NA,29918,55,295,240,FALSE,6,REP,M,LA,01609,David Vitter,23
1960,NA,20730,43,248,205,FALSE,2,REP,M,NV,01863,Dean Heller,24
1951,NA,41302,30,211,181,FALSE,0,REP,F,NE,02179,Deb Fischer,25
1950,NA,29732,32,322,290,FALSE,12,DEM,F,MI,01531,Debbie Ann Stabenow,26
1933,NA,49300,51,394,343,FALSE,21,DEM,F,CA,01332,Dianne Feinstein,27
1946,NA,14435,48,435,387,FALSE,2,DEM,M,MA,00735,Edward J. Markey,28
1949,NA,41301,23,346,323,FALSE,0,DEM,F,MA,02182,Elizabeth Warren,29
1958,NA,20923,22,348,326,FALSE,0,DEM,M,MI,01929,Gary C. Peters,30
1939,NA,15054,14,150,136,FALSE,24,DEM,M,NV,00952,Harry M. Reid,31
1955,NA,41303,33,257,224,FALSE,0,DEM,F,ND,02174,Heidi Heitkamp,32
1968,NA,21166,10,183,173,FALSE,0,REP,M,OK,02050,James Lankford,33
1934,NA,15424,32,273,241,FALSE,21,REP,M,OK,00583,James M. Inhofe,34
1943,NA,40902,10,221,211,FALSE,6,REP,M,ID,01896,James Risch,35
1947,NA,40906,53,398,345,FALSE,6,DEM,F,NH,01901,Jeanne Shaheen,36
1962,NA,20100,39,193,154,FALSE,0,REP,M,AZ,01633,Jeff Flake,37
1956,NA,40908,26,367,341,FALSE,6,DEM,M,OR,01900,Jeff Merkley,38
1946,NA,49700,10,159,149,FALSE,18,REP,M,AL,01548,Jefferson B. Sessions,39
1954,NA,29722,37,290,253,FALSE,0,REP,M,KS,01507,Jerry Moran,40
1955,NA,20717,17,188,171,FALSE,0,DEM,M,IN,01850,Joe Donnelly,41
1947,NA,40915,16,199,183,FALSE,3,DEM,M,WV,01983,Joe Manchin III,42
1952,NA,40707,31,203,172,FALSE,6,REP,M,WY,01881,John A. Barrasso,43
1950,NA,20101,19,271,252,FALSE,0,REP,M,AR,01687,John Boozman,44
1952,NA,40305,33,255,222,FALSE,13,REP,M,TX,01692,John Cornyn,45
1949,NA,29142,33,244,211,FALSE,18,DEM,M,RI,00949,John F. Reed,46
1944,NA,29909,33,293,260,FALSE,6,REP,M,GA,01608,John H. Isakson,47
1957,NA,41107,22,171,149,FALSE,0,REP,M,ND,02079,John Hoeven,48
1936,NA,15039,29,224,195,FALSE,24,REP,M,AZ,00754,John S. McCain,49
1961,NA,29754,53,238,185,FALSE,6,REP,M,SD,01534,John Thune,50
1956,NA,40702,43,297,254,FALSE,6,DEM,M,MT,01829,Jon Tester,51
1970,NA,NA,13,171,158,FALSE,0,REP,F,IA,02283,Joni Ernst,52
1968,NA,41106,32,431,399,FALSE,0,REP,F,NH,02075,Kelly Ayotte,53
1966,NA,20735,32,446,414,FALSE,4,DEM,F,NY,01866,Kirsten E. Gillibrand,54
1940,NA,40304,36,176,140,FALSE,12,REP,M,TN,01695,Lamar Alexander,55
1955,NA,29566,12,168,156,FALSE,12,REP,M,SC,00452,Lindsey O. Graham,56
1957,NA,40300,43,264,221,FALSE,8,REP,F,AK,01694,Lisa A. Murkowski,57
1971,NA,41102,43,367,324,FALSE,0,REP,M,FL,02084,Marco Rubio,58
1958,NA,39310,33,268,235,FALSE,12,DEM,F,WA,00172,Maria Cantwell,59
1959,NA,20115,54,386,332,FALSE,1,REP,M,IL,01647,Mark Steven Kirk,60
1954,NA,40909,21,222,201,FALSE,6,DEM,M,VA,01897,Mark Warner,61
1971,NA,20930,19,300,281,FALSE,0,DEM,M,NM,01937,Martin Heinrich,62
1947,NA,20713,36,342,306,FALSE,0,DEM,F,HI,01844,Mazie K. Hirono,63
1944,NA,49706,33,229,196,FALSE,18,REP,M,WY,01542,Michael B. Enzi,64
1951,NA,29345,24,247,223,FALSE,12,REP,M,ID,00250,Michael D. Crapo,65
1964,NA,40910,22,323,301,FALSE,2,DEM,M,CO,01965,Michael F. Bennet,66
1971,NA,41110,34,198,164,FALSE,0,REP,M,UT,02080,Mike Lee,67
1954,NA,NA,12,201,189,FALSE,0,REP,M,SD,02288,Mike Rounds,68
1942,NA,14921,25,126,101,FALSE,30,REP,M,KY,01395,Mitch McConnell,69
1934,NA,14503,57,282,225,FALSE,36,REP,M,UT,01351,Orrin G. Hatch,70
1936,NA,14852,24,274,250,FALSE,18,REP,M,KS,00968,Pat Roberts,71
1940,NA,14307,26,286,260,FALSE,36,DEM,M,VT,01383,Patrick J. Leahy,72
1961,NA,29935,29,206,177,FALSE,0,REP,M,PA,02085,Patrick J. Toomey,73
1950,NA,49308,46,346,300,FALSE,18,DEM,F,WA,01409,Patty Murray,74
1963,NA,41104,27,152,125,FALSE,0,REP,M,KY,02082,Rand Paul,75
1946,NA,41101,59,494,435,FALSE,0,DEM,M,CT,02076,Richard Blumenthal,76
1934,NA,14659,2,72,70,FALSE,24,REP,M,AL,01049,Richard C. Shelby,77
1944,NA,15021,45,437,392,FALSE,18,DEM,M,IL,00326,Richard J. Durbin,78
1955,NA,29548,37,220,183,FALSE,6,REP,M,NC,00153,Richard M. Burr,79
1955,NA,29386,49,280,231,FALSE,0,REP,M,OH,00924,Robert J. Portman,80
1954,NA,29373,51,317,266,FALSE,7,DEM,M,NJ,00791,Robert Menéndez,81
1960,NA,40703,53,335,282,FALSE,6,DEM,M,PA,01828,Robert P. Casey Jr.,82
1951,NA,29534,24,265,241,FALSE,6,REP,M,MS,01226,Roger F. Wicker,83
1955,NA,41111,35,215,180,FALSE,0,REP,M,WI,02086,Ron Johnson,84
1949,NA,14871,65,334,269,FALSE,15,DEM,M,OR,01247,Ron Wyden,85
1950,NA,29735,43,328,285,FALSE,0,REP,M,MO,01464,Roy Blunt,86
1955,NA,40704,25,364,339,FALSE,6,DEM,M,RI,01823,Sheldon Whitehouse,87
1953,NA,20146,13,269,256,FALSE,0,REP,F,WV,01676,Shelley Moore Capito,88
1952,NA,29389,53,421,368,FALSE,6,DEM,M,OH,00136,Sherrod Brown,89
1962,NA,21338,22,229,207,FALSE,0,REP,M,MT,02138,Steve Daines,90
1952,NA,49703,39,340,301,FALSE,18,REP,F,ME,01541,Susan M. Collins,91
1962,NA,29940,36,416,380,FALSE,0,DEM,F,WI,01558,Tammy Baldwin,92
1970,NA,41304,25,201,176,FALSE,0,REP,M,TX,02175,Ted Cruz,93
1937,NA,14009,8,208,200,FALSE,36,REP,M,MS,00213,Thad Cochran,94
1960,NA,NA,5,203,198,FALSE,0,REP,M,NC,02291,Thom Tillis,95
1947,NA,15015,27,189,162,FALSE,12,DEM,M,DE,00179,Thomas Richard Carper,96
1965,NA,21173,14,193,179,FALSE,2,REP,M,SC,02056,Tim Scott,97
1958,NA,41305,20,224,204,FALSE,0,DEM,M,VA,02176,Timothy Kaine,98
1977,NA,21301,11,208,197,FALSE,0,REP,M,AR,02098,Tom Cotton,99
1948,NA,29924,41,278,237,FALSE,6,DEM,M,NM,01567,Tom S. Udall,100
